mu,ber
0.0001,13.325
0.00030000000000000003,12.95
0.0005000000000000001,12.825
0.0007000000000000001,12.8
0.0009000000000000002,13.65
0.0011000000000000003,13.45
0.0013000000000000002,13.45
0.0015000000000000002,13.375
0.0017000000000000003,13.225
0.0019000000000000004,12.95
0.0021000000000000003,13.025
0.0023000000000000004,12.85
0.0025,12.6
0.0027,12.4
0.0029000000000000002,12.275
0.0031000000000000003,12.225
0.0033000000000000004,12.2
0.0035000000000000005,12.15
0.0037000000000000006,12.225
0.0039000000000000007,12.2
0.004100000000000001,12.35
0.004300000000000001,12.35
0.004500000000000001,12.325
0.004700000000000001,12.3
0.004900000000000001,12.25
0.005100000000000001,12.1
0.005300000000000001,12.1
0.005500000000000001,12.1
0.005700000000000001,12.075
0.005900000000000002,12.075
0.006100000000000001,12.1
0.006300000000000002,12.15
0.0065000000000000014,12.2
0.006700000000000001,11.0
0.006900000000000002,11.0
0.007100000000000001,11.0
0.007300000000000002,10.95
0.0075000000000000015,11.2
0.007700000000000002,11.2
0.0079,11.2
0.008100000000000001,11.125
0.0083,11.125
0.0085,11.1
0.008700000000000001,10.5
0.008900000000000002,10.5
0.0091,10.5
0.009300000000000001,10.5
0.009500000000000001,10.5
0.0097,10.5
0.0099,10.5
0.01,10.475
0.02,9.175
0.03,10.3
0.04,11.8
0.05,10.45
0.060000000000000005,9.1
0.06999999999999999,8.725
0.08,8.4
0.09,8.35
0.09999999999999999,8.25
0.11,8.175
0.12,7.975
0.13,7.925
0.14,7.775
0.15000000000000002,8.975
0.16,9.0
0.17,8.925
0.18000000000000002,8.55
0.19,9.225
0.2,9.45
0.21000000000000002,9.525
0.22,9.725
0.23,9.625
0.24000000000000002,8.55
0.25,8.55
0.26,8.5
0.27,7.35
0.28,7.3
0.29000000000000004,7.25
0.3,7.375
0.31,7.525
0.32,7.125
0.33,7.025
0.34,6.4
0.35000000000000003,6.375
0.36000000000000004,6.925
0.37,7.575
0.38,7.575
0.39,7.125
0.4,7.275
0.41000000000000003,8.925
0.42000000000000004,8.675
0.43,8.125
0.44,8.175
0.45,8.85
0.46,8.85
0.47000000000000003,8.85
0.48000000000000004,8.825
0.49,8.075
0.5,8.15
0.51,8.6
0.52,8.775
0.53,8.775
0.54,8.875
0.55,8.825
0.56,9.15
0.5700000000000001,9.575
0.5800000000000001,9.55
0.59,9.3
0.6,9.475
0.61,9.45
0.62,9.75
0.63,9.75
0.64,9.85
0.65,9.65
0.66,9.65
0.67,9.925
0.68,9.85
0.6900000000000001,9.5
0.7000000000000001,9.5
0.7100000000000001,10.325
0.72,10.325
0.73,10.525
0.74,10.775
0.75,10.875
0.76,10.8
0.77,10.8
0.78,12.275
0.79,12.4
0.8,12.425
0.81,12.4
0.8200000000000001,12.575
0.8300000000000001,12.2
0.8400000000000001,10.725
0.85,10.725
0.86,10.55
0.87,10.4
0.88,10.4
0.89,10.825
0.9,10.85
0.91,11.125
0.92,11.85
0.93,11.85
0.9400000000000001,11.85
0.9500000000000001,11.8
0.9600000000000001,11.325
0.97,11.275
0.98,11.275
0.99,11.25
