mu,ber
0.0001,24.675
0.00030000000000000003,23.625
0.0005000000000000001,22.825
0.0007000000000000001,21.275
0.0009000000000000002,20.75
0.0011000000000000003,19.7
0.0013000000000000002,19.05
0.0015000000000000002,19.475
0.0017000000000000003,19.05
0.0019000000000000004,18.8
0.0021000000000000003,17.275
0.0023000000000000004,16.8
0.0025,15.35
0.0027,13.125
0.0029000000000000002,12.375
0.0031000000000000003,12.35
0.0033000000000000004,12.25
0.0035000000000000005,11.775
0.0037000000000000006,11.875
0.0039000000000000007,12.275
0.004100000000000001,12.0
0.004300000000000001,12.525
0.004500000000000001,12.675
0.004700000000000001,11.75
0.004900000000000001,11.725
0.005100000000000001,13.05
0.005300000000000001,11.5
0.005500000000000001,11.4
0.005700000000000001,11.35
0.005900000000000002,11.225
0.006100000000000001,11.15
0.006300000000000002,11.15
0.0065000000000000014,11.1
0.006700000000000001,12.375
0.006900000000000002,12.35
0.007100000000000001,12.325
0.007300000000000002,12.225
0.0075000000000000015,12.25
0.007700000000000002,12.025
0.0079,12.05
0.008100000000000001,11.7
0.0083,11.025
0.0085,11.05
0.008700000000000001,11.025
0.008900000000000002,11.0
0.0091,10.95
0.009300000000000001,10.5
0.009500000000000001,10.85
0.0097,10.85
0.0099,10.8
0.01,10.775
0.02,11.675
0.03,10.125
0.04,9.3
0.05,8.975
0.060000000000000005,9.95
0.06999999999999999,9.625
0.08,9.825
0.09,9.4
0.09999999999999999,9.425
0.11,9.225
0.12,7.725
0.13,9.025
0.14,9.175
0.15000000000000002,9.55
0.16,9.9
0.17,11.225
0.18000000000000002,10.8
0.19,10.875
0.2,12.9
0.21000000000000002,10.725
0.22,13.0
0.23,13.325
0.24000000000000002,13.975
0.25,18.275
0.26,16.275
0.27,15.925
0.28,17.05
0.29000000000000004,17.175
0.3,16.325
0.31,15.125
0.32,15.175
0.33,15.275
0.34,16.55
0.35000000000000003,16.925
0.36000000000000004,17.3
0.37,19.6
0.38,22.525
0.39,23.2
0.4,23.775
0.41000000000000003,23.85
0.42000000000000004,23.325
0.43,24.8
0.44,23.5
0.45,24.675
0.46,24.625
0.47000000000000003,25.2
0.48000000000000004,27.05
0.49,26.925
