mu,ber,J
0.001,16.95,0.7638058006233591
0.002,15.45,0.6842632244708357
0.003,15.1,0.6434396909621363
0.004,14.1,0.6273013665077403
0.005,14.1,0.6210897095397516
0.006,14.15,0.6191143923564426
0.007,14.0,0.6202251217850897
0.008,13.85,0.6227164957824562
0.009000000000000001,13.05,0.625688396305891
0.01,12.9,0.6290957755296883
0.02,12.3,0.6472730873849767
0.03,11.05,0.6447071134290703
0.04,10.95,0.638562673547955
0.05,10.85,0.6324917044209181
0.060000000000000005,10.4,0.6266999817446812
0.06999999999999999,4.5,0.6202475978911504
0.08,4.9,0.615454900996391
0.09,8.25,0.6111031094894387
0.09999999999999999,4.55,0.608293992513034
0.11,4.3,0.6058043326268381
0.12,8.4,0.6049978266508155
0.13,11.95,0.6057461011703904
0.14,11.2,0.6053809626069782
0.15000000000000002,12.25,0.6056042486517906
0.16,8.35,0.6069342321951943
0.17,4.9,0.6089433886297246
0.18000000000000002,5.6,0.6102408851042578
0.19,7.85,0.613935144276958
0.2,7.55,0.6167332458448667
0.21000000000000002,7.5,0.6190027313499161
0.22,7.9,0.6225302434192896
0.23,7.9,0.6271159661151463
0.24000000000000002,7.95,0.6312224836036816
0.25,8.65,0.6354489533354147
0.26,7.5,0.6395516672035675
0.27,7.45,0.6444304153652015
0.28,7.25,0.649535944222139
0.29000000000000004,6.9,0.654747660942835
0.3,6.75,0.6602872708680166
0.31,6.9,0.6658831218969793
0.32,6.85,0.6718112630769584
0.33,10.8,0.6766893245094507
0.34,7.45,0.6827846989612805
0.35000000000000003,7.45,0.6890996338991543
0.36000000000000004,7.45,0.6955772161423718
0.37,7.45,0.7022132357005039
0.38,7.45,0.7090038663420866
0.39,6.65,0.7159850414731186
0.4,6.65,0.7230693508681054
0.41000000000000003,7.5,0.727676113438139
0.42000000000000004,7.5,0.7350127442987525
0.43,7.75,0.7922779749480446
0.44,7.75,0.7997770199531311
0.45,3.25,0.8055348075130465
0.46,3.3,0.8132744609590183
0.47000000000000003,3.3,0.8211507732729522
0.48000000000000004,3.3,0.8291575804183187
0.49,3.35,0.8372859975918077
0.5,4.85,0.8455806490073328
0.51,4.1,0.8540052383208347
0.52,4.15,0.862537877741899
0.53,8.15,0.8797316996875021
0.54,8.15,0.8881442766652161
0.55,6.25,0.8888145048040853
0.56,6.4,0.8977872656411858
0.5700000000000001,6.55,0.9069702231996666
0.5800000000000001,6.7,0.9160150882754126
0.59,6.85,0.9254350685023488
0.6,6.85,0.934976564017188
0.61,7.0,0.9447289665049406
0.62,10.85,0.9561227041287043
0.63,7.15,0.9649463755440142
0.64,5.9,0.9750305604564913
0.65,6.6,0.9855997195470982
0.66,6.7,0.9958734318849761
0.67,7.05,1.0063285755404827
0.68,7.1,1.0169864894630933
0.6900000000000001,11.35,1.0328369909560577
0.7000000000000001,15.85,1.044007479264016
0.7100000000000001,16.0,1.055430004007513
0.72,18.3,1.0844369335612511
0.73,18.55,1.0968765513485224
0.74,18.4,1.1084034296093903
0.75,19.95,1.1100501613163942
0.76,19.9,1.1221621525018626
0.77,22.35,1.0719667852627288
0.78,22.5,1.0877236450035006
0.79,22.4,1.0994979595574514
0.8,21.2,1.1111710049812973
0.81,21.15,1.123432416813003
0.8200000000000001,22.55,1.1359762989719036
0.8300000000000001,22.5,1.1486927533299311
0.8400000000000001,23.15,1.1616202034514835
0.85,23.1,1.1687861538911741
0.86,25.35,1.171028248478184
0.87,25.4,1.1846249772880668
0.88,25.45,1.1984853633332635
0.89,27.55,1.2125491547474148
0.9,29.6,1.2272706547507617
0.91,28.0,1.2418043755006996
0.92,35.8,1.2557539975514305
0.93,39.65,1.3089682403020302
0.9400000000000001,38.8,1.3207842868823527
0.9500000000000001,38.8,1.3381141602043993
0.9600000000000001,36.2,1.355339927939576
0.97,29.8,1.372977783318319
0.98,32.65,1.3903758988289565
0.99,32.85,1.4091370663453926
