mu,ber
0.0001,10.15
0.00030000000000000003,10.175
0.0005000000000000001,9.925
0.0007000000000000001,9.775
0.0009000000000000002,9.725
0.0011000000000000003,9.725
0.0013000000000000002,9.55
0.0015000000000000002,9.5
0.0017000000000000003,9.325
0.0019000000000000004,9.2
0.0021000000000000003,9.025
0.0023000000000000004,9.0
0.0025,8.825
0.0027,8.85
0.0029000000000000002,8.8
0.0031000000000000003,8.65
0.0033000000000000004,8.525
0.0035000000000000005,8.45
0.0037000000000000006,8.25
0.0039000000000000007,8.2
0.004100000000000001,8.325
0.004300000000000001,8.275
0.004500000000000001,8.075
0.004700000000000001,8.075
0.004900000000000001,8.025
0.005100000000000001,7.975
0.005300000000000001,8.0
0.005500000000000001,7.975
0.005700000000000001,7.95
0.005900000000000002,7.525
0.006100000000000001,7.5
0.006300000000000002,7.475
0.0065000000000000014,7.4
0.006700000000000001,7.3
0.006900000000000002,7.3
0.007100000000000001,7.275
0.007300000000000002,7.225
0.0075000000000000015,7.225
0.007700000000000002,7.2
0.0079,7.175
0.008100000000000001,7.175
0.0083,6.825
0.0085,6.3
0.008700000000000001,6.3
0.008900000000000002,6.35
0.0091,6.35
0.009300000000000001,6.35
0.009500000000000001,6.275
0.0097,6.275
0.0099,6.225
0.01,6.2
0.02,6.825
0.03,6.425
0.04,5.45
0.05,6.275
0.060000000000000005,6.25
0.06999999999999999,6.0
0.08,6.075
0.09,6.15
0.09999999999999999,5.425
0.11,5.275
0.12,5.25
0.13,5.675
0.14,5.65
0.15000000000000002,5.65
0.16,5.55
0.17,5.475
0.18000000000000002,5.225
0.19,5.275
0.2,5.25
0.21000000000000002,5.025
0.22,4.7
0.23,4.75
0.24000000000000002,5.05
0.25,5.05
0.26,5.65
0.27,5.425
0.28,5.45
0.29000000000000004,5.35
0.3,5.35
0.31,5.35
0.32,5.35
0.33,5.4
0.34,5.35
0.35000000000000003,5.35
0.36000000000000004,5.1
0.37,5.025
0.38,7.275
0.39,7.2
0.4,7.275
0.41000000000000003,6.65
0.42000000000000004,6.65
0.43,6.65
0.44,6.65
0.45,6.7
0.46,6.7
0.47000000000000003,6.725
0.48000000000000004,6.6
0.49,6.6
0.5,6.625
0.51,6.625
0.52,6.65
0.53,6.625
0.54,6.5
0.55,6.6
0.56,6.65
0.5700000000000001,6.65
0.5800000000000001,6.65
0.59,6.65
0.6,7.725
0.61,7.875
0.62,8.0
0.63,8.075
0.64,8.15
0.65,8.225
0.66,8.325
0.67,8.725
0.68,8.65
0.6900000000000001,8.8
0.7000000000000001,8.95
0.7100000000000001,9.025
0.72,9.075
0.73,9.025
0.74,9.025
0.75,9.25
0.76,9.275
0.77,9.4
0.78,9.4
0.79,9.475
0.8,9.6
0.81,9.675
0.8200000000000001,9.975
0.8300000000000001,10.0
0.8400000000000001,10.0
0.85,10.125
0.86,10.25
0.87,10.35
0.88,10.35
0.89,11.6
0.9,11.6
0.91,11.75
0.92,11.8
0.93,11.85
0.9400000000000001,11.85
0.9500000000000001,11.525
0.9600000000000001,12.1
0.97,12.125
0.98,12.175
0.99,12.1
