mu,ber
0.0001,19.925
0.00030000000000000003,19.575
0.0005000000000000001,19.45
0.0007000000000000001,18.075
0.0009000000000000002,17.875
0.0011000000000000003,17.45
0.0013000000000000002,17.2
0.0015000000000000002,16.825
0.0017000000000000003,16.375
0.0019000000000000004,16.25
0.0021000000000000003,15.725
0.0023000000000000004,15.525
0.0025,15.4
0.0027,15.25
0.0029000000000000002,15.175
0.0031000000000000003,15.275
0.0033000000000000004,14.925
0.0035000000000000005,14.8
0.0037000000000000006,14.7
0.0039000000000000007,14.7
0.004100000000000001,14.825
0.004300000000000001,14.775
0.004500000000000001,13.425
0.004700000000000001,13.0
0.004900000000000001,12.975
0.005100000000000001,13.05
0.005300000000000001,12.975
0.005500000000000001,12.95
0.005700000000000001,13.9
0.005900000000000002,13.925
0.006100000000000001,13.95
0.006300000000000002,13.925
0.0065000000000000014,14.05
0.006700000000000001,14.075
0.006900000000000002,13.125
0.007100000000000001,13.075
0.007300000000000002,13.025
0.0075000000000000015,13.1
0.007700000000000002,12.95
0.0079,12.925
0.008100000000000001,12.925
0.0083,12.9
0.0085,12.825
0.008700000000000001,12.75
0.008900000000000002,12.55
0.0091,12.55
0.009300000000000001,12.55
0.009500000000000001,12.55
0.0097,12.55
0.0099,12.55
0.01,12.55
0.02,10.1
0.03,10.25
0.04,9.975
0.05,9.3
0.060000000000000005,9.325
0.06999999999999999,9.25
0.08,10.35
0.09,13.9
0.09999999999999999,14.5
0.11,13.075
0.12,15.075
0.13,14.375
0.14,15.35
0.15000000000000002,11.825
0.16,13.925
0.17,13.825
0.18000000000000002,14.4
0.19,16.325
0.2,17.125
0.21000000000000002,15.95
0.22,17.5
0.23,18.525
0.24000000000000002,18.95
0.25,19.325
0.26,18.5
0.27,18.45
0.28,19.8
0.29000000000000004,20.325
0.3,20.375
0.31,24.05
0.32,24.725
0.33,24.7
0.34,22.8
0.35000000000000003,23.225
0.36000000000000004,23.1
0.37,23.275
0.38,23.4
0.39,24.975
0.4,24.875
0.41000000000000003,23.8
0.42000000000000004,20.075
0.43,22.15
0.44,22.35
0.45,22.4
0.46,22.225
0.47000000000000003,26.5
0.48000000000000004,26.425
0.49,26.0
0.5,28.85
0.51,28.6
0.52,27.175
0.53,28.95
0.54,30.275
0.55,30.95
0.56,31.725
0.5700000000000001,33.975
0.5800000000000001,34.0
0.59,30.55
0.6,30.75
0.61,30.35
0.62,35.5
0.63,35.7
0.64,34.475
0.65,34.5
0.66,37.825
0.67,37.35
0.68,38.3
0.6900000000000001,38.025
0.7000000000000001,38.15
0.7100000000000001,40.775
0.72,40.5
0.73,39.9
0.74,38.825
0.75,39.3
0.76,39.275
0.77,40.8
0.78,39.875
0.79,43.15
0.8,43.55
0.81,42.8
0.8200000000000001,44.5
0.8300000000000001,44.85
0.8400000000000001,46.225
0.85,48.0
0.86,48.475
0.87,49.175
0.88,49.85
0.89,49.9
0.9,46.825
0.91,45.175
0.92,43.875
0.93,45.725
0.9400000000000001,45.375
0.9500000000000001,45.775
0.9600000000000001,46.025
0.97,47.125
0.98,50.725
0.99,48.575
