mu,ber
0.0001,24.425
0.00030000000000000003,23.975
0.0005000000000000001,23.025
0.0007000000000000001,22.675
0.0009000000000000002,22.675
0.0011000000000000003,22.525
0.0013000000000000002,22.325
0.0015000000000000002,21.925
0.0017000000000000003,21.8
0.0019000000000000004,21.575
0.0021000000000000003,21.275
0.0023000000000000004,21.125
0.0025,20.7
0.0027,20.525
0.0029000000000000002,20.475
0.0031000000000000003,20.5
0.0033000000000000004,20.55
0.0035000000000000005,20.475
0.0037000000000000006,20.55
0.0039000000000000007,20.55
0.004100000000000001,20.25
0.004300000000000001,20.0
0.004500000000000001,20.025
0.004700000000000001,19.875
0.004900000000000001,19.575
0.005100000000000001,19.725
0.005300000000000001,19.325
0.005500000000000001,19.3
0.005700000000000001,19.225
0.005900000000000002,19.175
0.006100000000000001,19.125
0.006300000000000002,19.275
0.0065000000000000014,18.25
0.006700000000000001,18.225
0.006900000000000002,16.725
0.007100000000000001,16.625
0.007300000000000002,14.8
0.0075000000000000015,14.8
0.007700000000000002,14.8
0.0079,14.7
0.008100000000000001,14.675
0.0083,14.675
0.0085,14.675
0.008700000000000001,14.6
0.008900000000000002,14.6
0.0091,18.325
0.009300000000000001,18.3
0.009500000000000001,18.25
0.0097,18.225
0.0099,18.5
0.01,19.25
0.02,14.55
0.03,13.35
0.04,14.7
0.05,13.475
0.060000000000000005,11.35
0.06999999999999999,11.7
0.08,13.125
0.09,12.275
0.09999999999999999,8.05
0.11,9.8
0.12,10.25
0.13,10.65
0.14,10.425
0.15000000000000002,11.525
0.16,11.475
0.17,11.25
0.18000000000000002,12.0
0.19,12.55
0.2,12.525
0.21000000000000002,13.05
0.22,14.975
0.23,15.125
0.24000000000000002,14.825
0.25,14.825
0.26,13.425
0.27,14.05
0.28,14.1
0.29000000000000004,16.7
0.3,18.25
0.31,18.275
0.32,17.8
0.33,17.85
0.34,18.125
0.35000000000000003,19.15
0.36000000000000004,17.85
0.37,17.85
0.38,18.875
0.39,15.55
0.4,14.55
0.41000000000000003,14.65
0.42000000000000004,15.375
0.43,15.35
0.44,15.25
0.45,14.025
0.46,13.2
0.47000000000000003,13.725
0.48000000000000004,14.5
0.49,15.625
0.5,15.975
0.51,17.825
0.52,19.1
0.53,18.475
0.54,19.625
0.55,19.625
0.56,17.25
0.5700000000000001,17.325
0.5800000000000001,17.375
0.59,18.425
0.6,18.625
0.61,20.05
0.62,20.325
0.63,20.825
0.64,28.075
0.65,28.425
0.66,28.1
0.67,31.2
0.68,31.325
0.6900000000000001,31.55
0.7000000000000001,32.575
0.7100000000000001,33.55
0.72,33.3
0.73,34.675
0.74,35.075
0.75,35.025
0.76,35.025
0.77,35.825
0.78,35.875
0.79,35.9
0.8,35.5
0.81,37.45
0.8200000000000001,38.35
0.8300000000000001,38.575
0.8400000000000001,41.4
0.85,39.375
0.86,37.075
0.87,36.4
0.88,39.575
0.89,41.3
0.9,43.525
0.91,43.475
0.92,42.6
0.93,43.1
0.9400000000000001,40.725
0.9500000000000001,40.6
0.9600000000000001,40.55
0.97,38.95
0.98,44.825
0.99,43.75
