mu,ber
0.0001,12.475
0.00030000000000000003,12.525
0.0005000000000000001,12.6
0.0007000000000000001,12.575
0.0009000000000000002,12.675
0.0011000000000000003,12.625
0.0013000000000000002,12.175
0.0015000000000000002,11.85
0.0017000000000000003,12.025
0.0019000000000000004,12.225
0.0021000000000000003,12.4
0.0023000000000000004,12.45
0.0025,12.525
0.0027,12.625
0.0029000000000000002,12.725
0.0031000000000000003,13.1
0.0033000000000000004,13.15
0.0035000000000000005,13.475
0.0037000000000000006,13.9
0.0039000000000000007,13.925
0.004100000000000001,14.0
0.004300000000000001,14.125
0.004500000000000001,14.175
0.004700000000000001,14.075
0.004900000000000001,14.1
0.005100000000000001,14.025
0.005300000000000001,14.375
0.005500000000000001,14.775
0.005700000000000001,14.875
0.005900000000000002,14.95
0.006100000000000001,14.9
0.006300000000000002,14.9
0.0065000000000000014,15.05
0.006700000000000001,15.05
0.006900000000000002,15.05
0.007100000000000001,15.675
0.007300000000000002,15.775
0.0075000000000000015,15.95
0.007700000000000002,15.975
0.0079,16.0
0.008100000000000001,15.95
0.0083,15.975
0.0085,16.1
0.008700000000000001,17.025
0.008900000000000002,16.875
0.0091,16.675
0.009300000000000001,16.925
0.009500000000000001,17.0
0.0097,17.05
0.0099,17.15
0.01,17.125
0.02,20.4
0.03,22.675
0.04,21.575
0.05,21.7
0.060000000000000005,22.85
0.06999999999999999,23.875
0.08,21.475
0.09,22.175
0.09999999999999999,20.05
0.11,22.95
0.12,24.725
0.13,27.075
0.14,29.4
0.15000000000000002,29.6
0.16,34.875
0.17,33.675
0.18000000000000002,31.45
0.19,40.725
0.2,39.975
0.21000000000000002,37.6
0.22,44.175
0.23,44.475
0.24000000000000002,42.825
0.25,45.65
0.26,47.475
0.27,47.35
0.28,48.2
0.29000000000000004,48.825
0.3,48.675
0.31,48.775
0.32,49.55
0.33,49.775
0.34,48.8
0.35000000000000003,53.5
0.36000000000000004,53.0
0.37,51.35
0.38,54.325
0.39,54.6
0.4,58.5
0.41000000000000003,56.3
0.42000000000000004,57.575
0.43,55.7
0.44,59.25
0.45,61.675
0.46,62.8
0.47000000000000003,65.4
0.48000000000000004,65.775
0.49,67.4
0.5,67.975
0.51,66.55
0.52,65.625
0.53,66.1
0.54,66.475
0.55,67.025
0.56,67.525
0.5700000000000001,68.075
0.5800000000000001,70.325
0.59,70.2
0.6,69.225
0.61,70.7
0.62,70.475
0.63,72.575
0.64,72.425
0.65,73.875
0.66,74.025
0.67,74.45
0.68,73.2
0.6900000000000001,72.8
0.7000000000000001,73.6
0.7100000000000001,76.5
0.72,77.775
0.73,77.375
0.74,78.1
0.75,80.725
0.76,77.0
0.77,77.425
0.78,76.7
0.79,80.275
0.8,80.4
0.81,79.0
0.8200000000000001,78.975
0.8300000000000001,76.725
0.8400000000000001,76.35
0.85,77.15
0.86,76.875
0.87,78.775
0.88,76.05
0.89,76.475
0.9,77.55
0.91,79.65
0.92,79.9
0.93,78.4
0.9400000000000001,78.275
0.9500000000000001,77.875
0.9600000000000001,78.25
0.97,77.625
0.98,77.75
0.99,77.475
