mu,ber,J
0.001,20.875,0.6471106713192998
0.002,21.225,0.515988341051483
0.003,19.55,0.4540923406290757
0.004,18.575,0.4290380170751375
0.005,17.45,0.40476453272328156
0.006,17.2,0.3867796680710118
0.007,16.9,0.3739834556049877
0.008,16.525,0.3625593288179128
0.009000000000000001,16.175,0.36115528346059333
0.01,14.7,0.3488454442088697
0.02,10.1,0.3050615162052803
0.03,8.025,0.28443475400096924
0.04,9.375,0.2728654744228888
0.05,9.15,0.23767951894888506
0.060000000000000005,12.325,0.22688034177147506
0.06999999999999999,12.475,0.22157614881836568
0.08,12.05,0.21315309185625242
0.09,11.95,0.20808751096502415
0.09999999999999999,12.6,0.2032372915177601
0.11,12.4,0.2033795729929672
0.12,11.6,0.1911606366536715
0.13,11.675,0.19178832179526736
0.14,12.125,0.18684168540007465
0.15000000000000002,12.25,0.18385177625137195
0.16,11.875,0.18028529451936948
0.17,11.775,0.17778631470067174
0.18000000000000002,11.575,0.1776650400756406
0.19,13.175,0.171660332686354
0.2,13.025,0.1699683096063393
0.21000000000000002,10.25,0.16741261711990701
0.22,7.725,0.16579043772875812
0.23,7.625,0.16477037480562598
0.24000000000000002,10.275,0.1634217771085737
0.25,10.225,0.1628753228426612
0.26,10.225,0.16250448106280235
0.27,10.225,0.16229216847910866
0.28,10.225,0.1622277655574727
0.29000000000000004,10.25,0.16230259322749993
0.3,10.35,0.16250498741178607
0.31,10.7,0.1629072825384566
0.32,10.9,0.1635981323832084
0.33,10.4,0.16454564847975214
0.34,10.5,0.1659512503308632
0.35000000000000003,10.5,0.1667714528361735
0.36000000000000004,10.5,0.16767930054861002
0.37,12.95,0.16950594561158072
0.38,13.825,0.1707992867706496
0.39,13.825,0.17143534764497467
0.4,13.375,0.17187268220580182
0.41000000000000003,13.725,0.17340188022189856
0.42000000000000004,13.725,0.17473944999627677
0.43,13.725,0.17613998913408707
0.44,13.6,0.17766997772109408
0.45,13.6,0.17918665210458268
0.46,13.6,0.18075643969771144
0.47000000000000003,13.6,0.18237639018320764
0.48000000000000004,13.6,0.18404369415196084
0.49,13.575,0.1857443266646182
0.5,13.425,0.18752025262461408
0.51,13.4,0.1892993572435828
0.52,13.425,0.19114805081760397
0.53,12.7,0.19365185139479477
0.54,12.7,0.19557621701953004
0.55,12.7,0.19753147653561612
0.56,12.575,0.2141464382970072
0.5700000000000001,12.575,0.2166847795513227
0.5800000000000001,12.35,0.20328154611424287
0.59,12.35,0.2053235543571844
0.6,12.175,0.20739751480966667
0.61,12.175,0.2094804893354363
0.62,12.175,0.21179887567880468
0.63,11.95,0.2262371246294203
0.64,11.95,0.2282303184554825
0.65,11.875,0.2302355652911637
0.66,11.875,0.23224667034563246
0.67,11.875,0.23426605734506414
0.68,11.875,0.23519365267590048
0.6900000000000001,11.875,0.23719504073275074
0.7000000000000001,11.875,0.23920024639443352
0.7100000000000001,11.875,0.2412139208334992
0.72,11.925,0.23338884292952866
0.73,12.025,0.2356885188055138
0.74,12.025,0.23784393484331162
0.75,12.275,0.2698984413110821
0.76,12.25,0.27275674573521613
0.77,12.25,0.275629119066558
0.78,12.375,0.2785222968689602
0.79,14.675,0.2815058995273948
0.8,14.725,0.284409193612608
0.81,14.675,0.28851320245263695
0.8200000000000001,14.75,0.2922674076221188
0.8300000000000001,14.8,0.29709678544855
0.8400000000000001,15.3,0.300600787806478
0.85,15.425,0.29777049280215123
0.86,15.45,0.3066394088991523
0.87,15.45,0.30446649278469573
0.88,15.55,0.3077924382932357
0.89,15.725,0.3255307643944485
0.9,15.75,0.32941533652245947
0.91,16.075,0.32606193279393586
0.92,16.1,0.33005064358813985
0.93,16.1,0.3340226875362571
0.9400000000000001,16.0,0.32853625251637064
0.9500000000000001,15.95,0.3321507603828073
0.9600000000000001,16.075,0.3317336004660206
0.97,16.075,0.3353561920830386
0.98,16.0,0.34010896346328573
0.99,16.075,0.34380333655782097
