mu,ber
0.0001,13.625
0.00030000000000000003,12.65
0.0005000000000000001,11.95
0.0007000000000000001,11.05
0.0009000000000000002,10.675
0.0011000000000000003,10.575
0.0013000000000000002,10.225
0.0015000000000000002,10.075
0.0017000000000000003,7.775
0.0019000000000000004,7.275
0.0021000000000000003,6.85
0.0023000000000000004,6.475
0.0025,6.225
0.0027,6.2
0.0029000000000000002,6.175
0.0031000000000000003,6.35
0.0033000000000000004,6.225
0.0035000000000000005,6.35
0.0037000000000000006,6.325
0.0039000000000000007,6.35
0.004100000000000001,6.5
0.004300000000000001,6.5
0.004500000000000001,5.975
0.004700000000000001,5.8
0.004900000000000001,5.9
0.005100000000000001,5.925
0.005300000000000001,6.025
0.005500000000000001,6.05
0.005700000000000001,5.975
0.005900000000000002,5.95
0.006100000000000001,6.0
0.006300000000000002,5.925
0.0065000000000000014,5.875
0.006700000000000001,5.875
0.006900000000000002,5.875
0.007100000000000001,5.9
0.007300000000000002,5.875
0.0075000000000000015,5.875
0.007700000000000002,5.825
0.0079,5.825
0.008100000000000001,5.825
0.0083,5.1
0.0085,5.1
0.008700000000000001,5.925
0.008900000000000002,5.875
0.0091,5.925
0.009300000000000001,5.575
0.009500000000000001,5.55
0.0097,5.6
0.0099,5.6
0.01,5.6
0.02,6.05
0.03,5.275
0.04,5.025
0.05,4.525
0.060000000000000005,6.825
0.06999999999999999,8.3
0.08,7.7
0.09,8.425
0.09999999999999999,7.575
0.11,6.475
0.12,6.4
0.13,7.825
0.14,8.35
0.15000000000000002,8.075
0.16,8.125
0.17,8.2
0.18000000000000002,8.075
0.19,8.025
0.2,7.0
0.21000000000000002,6.525
0.22,6.675
0.23,7.275
0.24000000000000002,9.35
0.25,9.4
0.26,8.7
0.27,9.425
0.28,9.4
0.29000000000000004,9.425
0.3,11.825
0.31,10.275
0.32,13.525
0.33,13.5
0.34,13.475
0.35000000000000003,13.9
0.36000000000000004,12.975
0.37,13.1
0.38,14.475
0.39,14.725
0.4,14.7
0.41000000000000003,15.65
0.42000000000000004,17.275
0.43,17.15
0.44,17.125
0.45,17.5
0.46,17.575
0.47000000000000003,18.625
0.48000000000000004,18.5
0.49,18.475
0.5,18.975
0.51,19.0
0.52,18.5
0.53,19.475
0.54,19.475
0.55,18.975
0.56,18.975
0.5700000000000001,19.05
0.5800000000000001,19.1
0.59,19.2
0.6,20.6
0.61,22.575
0.62,22.525
0.63,22.725
0.64,24.025
0.65,22.8
0.66,22.875
0.67,24.6
0.68,23.825
0.6900000000000001,25.7
0.7000000000000001,26.625
0.7100000000000001,28.35
0.72,27.525
0.73,27.725
0.74,28.075
0.75,29.175
0.76,27.275
0.77,27.275
0.78,27.125
0.79,29.625
0.8,30.3
0.81,30.325
0.8200000000000001,28.7
0.8300000000000001,31.625
0.8400000000000001,32.6
0.85,32.625
0.86,34.075
0.87,33.4
0.88,33.225
0.89,33.25
0.9,34.875
0.91,35.25
0.92,38.45
0.93,41.0
0.9400000000000001,41.4
0.9500000000000001,40.9
0.9600000000000001,42.4
0.97,43.05
0.98,43.825
0.99,43.825
