mu,ber
0.85,6.25
0.853,6.25
0.856,6.25
0.859,6.25
0.862,6.25
0.865,6.15
0.868,6.175
0.871,6.15
0.874,6.2
0.877,6.15
0.88,6.225
0.883,6.225
0.886,6.225
0.889,6.275
0.892,6.275
0.895,6.25
0.898,6.25
0.901,6.325
0.904,6.3
0.907,6.325
0.91,6.4
0.913,6.35
0.916,6.325
0.919,6.25
0.9219999999999999,6.3
0.925,6.4
0.9279999999999999,6.275
0.931,6.175
0.9339999999999999,6.2
0.9369999999999999,6.075
0.94,6.0
0.943,6.025
0.946,6.0
0.949,6.075
0.952,6.175
0.955,6.225
0.958,6.4
0.961,6.575
0.964,6.575
0.967,6.75
0.97,6.85
0.973,6.975
0.976,7.475
0.979,7.775
0.982,8.15
0.985,8.325
0.988,8.425
0.991,8.6
0.994,9.375
0.997,10.425
