mu,ber
0.85,2.975
0.853,3.0
0.856,3.0
0.859,3.025
0.862,3.025
0.865,3.0
0.868,2.95
0.871,3.025
0.874,2.975
0.877,3.0
0.88,3.0
0.883,2.975
0.886,2.9
0.889,2.9
0.892,2.875
0.895,2.825
0.898,2.825
0.901,2.9
0.904,2.875
0.907,2.875
0.91,2.8
0.913,2.75
0.916,2.725
0.919,2.7
0.9219999999999999,2.375
0.925,2.35
0.9279999999999999,2.35
0.931,2.35
0.9339999999999999,2.325
0.9369999999999999,2.25
0.94,2.25
0.943,2.275
0.946,2.225
0.949,2.25
0.952,2.275
0.955,2.275
0.958,2.275
0.961,2.225
0.964,2.3
0.967,2.3
0.97,2.35
0.973,2.375
0.976,2.325
0.979,2.425
0.982,2.325
0.985,2.525
0.988,2.6
0.991,2.775
0.994,3.15
0.997,3.725
