mu,ber
0.85,2.7875
0.853,2.8
0.856,2.7625
0.859,2.725
0.862,2.7875
0.865,2.9125
0.868,2.9875
0.871,2.9
0.874,2.7125
0.877,2.7625
0.88,2.675
0.883,2.725
0.886,2.625
0.889,2.6375
0.892,2.625
0.895,2.5375
0.898,2.575
0.901,2.575
0.904,2.5875
0.907,2.7375
0.91,2.5
0.913,2.35
0.916,2.2875
0.919,2.3375
0.9219999999999999,2.3
0.925,2.3875
0.9279999999999999,2.4
0.931,2.4375
0.9339999999999999,2.475
0.9369999999999999,2.5625
0.94,2.7
0.943,2.6125
0.946,2.65
0.949,2.7875
0.952,2.8125
0.955,2.7875
0.958,2.9
0.961,2.9375
0.964,2.975
0.967,3.0875
0.97,3.1375
0.973,3.1625
0.976,3.2375
0.979,3.375
0.982,3.5625
0.985,3.6375
0.988,3.8625
0.991,4.3125
0.994,4.575
0.997,5.175
