mu,ber
0.7788007830714049,1.825
0.8927703250971366,1.8
0.9292724661834706,1.725
0.9472392859625229,1.675
0.9579281956774315,1.55
0.9650161277231987,1.525
0.9700603214731668,1.4
0.9738332886739254,1.425
0.9767617885052541,1.525
0.9791007901016487,1.525
0.9810120078931768,1.6
0.9826029635075111,1.65
0.9839479314265187,1.825
0.9850998672267954,1.8
0.9860975442628619,1.8
0.9869700034106982,1.95
0.987739426399548,2.075
0.9884230479535462,2.075
0.9890344620573305,2.125
0.9895845350813021,2.2
0.9900820572136235,2.2
0.990534215708128,2.25
0.9909469443297331,2.275
0.9913251852033019,2.35
0.991673087656223,2.375
0.9919941610600304,2.375
0.9922913936257597,2.5
0.9925673456842468,2.55
0.9928242236239109,2.55
0.9930639390090071,2.55
0.9932881562316848,2.55
0.9934983312111558,2.675
0.9936957430428041,2.7
0.993881520051483,2.775
0.9940566613702403,2.8
0.9942220549160928,2.8
0.9943784924456865,2.8
0.9945266822296779,2.8
0.9946672597739556,2.85
0.9948007969300635,2.85
0.9949278096702725,2.9
0.9950487647502056,2.95
0.9951640854403874,2.975
0.9952741564750597,2.975
0.9953793283402003,3.025
0.9954799210014427,3.075
0.9955762271554306,3.125
0.9956685150742013,3.175
0.9957570311008136,3.175
0.99584200184511,3.175
