mu,ber
0.85,3.75
0.853,3.85
0.856,3.85
0.859,3.875
0.862,3.85
0.865,3.825
0.868,3.875
0.871,3.875
0.874,3.85
0.877,3.8
0.88,3.825
0.883,3.85
0.886,3.85
0.889,3.75
0.892,4.3
0.895,4.325
0.898,4.3
0.901,4.075
0.904,4.2
0.907,4.275
0.91,4.3
0.913,4.325
0.916,4.375
0.919,4.325
0.9219999999999999,4.175
0.925,4.175
0.9279999999999999,4.15
0.931,4.275
0.9339999999999999,4.125
0.9369999999999999,3.4
0.94,3.35
0.943,3.075
0.946,3.125
0.949,3.175
0.952,3.225
0.955,3.025
0.958,2.925
0.961,2.975
0.964,3.075
0.967,3.2
0.97,2.925
0.973,3.2
0.976,3.175
0.979,3.075
0.982,3.275
0.985,3.325
0.988,3.375
0.991,3.55
0.994,4.2
0.997,4.975
