mu,ber
0.85,4.025
0.853,4.0375
0.856,4.05
0.859,4.1625
0.862,4.2375
0.865,4.1625
0.868,4.15
0.871,4.1375
0.874,3.8875
0.877,3.9375
0.88,4.0875
0.883,3.9625
0.886,3.9875
0.889,3.9875
0.892,4.025
0.895,4.075
0.898,4.0875
0.901,4.1
0.904,4.0875
0.907,4.0375
0.91,3.975
0.913,3.95
0.916,3.9625
0.919,4.0125
0.9219999999999999,4.0625
0.925,4.1125
0.9279999999999999,4.0875
0.931,4.125
0.9339999999999999,4.1125
0.9369999999999999,4.175
0.94,4.175
0.943,3.95
0.946,3.8875
0.949,4.0
0.952,4.2
0.955,4.25
0.958,4.2
0.961,4.0875
0.964,3.8875
0.967,3.8375
0.97,3.925
0.973,3.9125
0.976,3.975
0.979,4.2375
0.982,4.375
0.985,4.575
0.988,4.9375
0.991,5.275
0.994,6.0875
0.997,6.7875
